Site,Tag No. ,# of dead Sf,Sf released,HWA ovisacs,Release date:,Treatment,Collection Interval (wks),Collection Date,Process Date,SF Larvae,SF Puparia,SF Adults,Progrediens Ovisacs (Lab),Sistens Nymphs (Lab),Leucopis Species
Dupont,2,2,30,241,5/22/2019,Flies,2,6/5/2019,6/7/2019,2,0,0,59,,argenticolis
Dupont,3,4,28,322,5/22/2019,Flies,2,6/5/2019,6/7/2019,0,0,0,32,,argenticolis
Dupont,4,1,31,262,5/22/2019,Flies,2,6/5/2019,6/7/2019,0,0,0,64,,argenticolis
Dupont,5,3,29,253,5/22/2019,Flies,2,6/5/2019,6/7/2019,12,0,0,111,,argenticolis
Dupont,7,1,31,143,5/22/2019,Flies,2,6/5/2019,6/7/2019,0,0,0,61,,argenticolis
Dupont,8,0,32,257,5/22/2019,Flies,2,6/5/2019,6/7/2019,7,0,0,113,,argenticolis
Dupont,10,3,29,189,5/22/2019,Flies,2,6/5/2019,6/7/2019,1,0,1,57,,argenticolis
Dupont,11,3,29,145,5/22/2019,Flies,2,6/5/2019,6/7/2019,9,0,0,56,,argenticolis
Dupont,12,4,28,92,5/22/2019,Flies,2,6/5/2019,6/7/2019,45,0,1,195,,argenticolis
Dupont,13,2,30,198,5/22/2019,Flies,2,6/5/2019,6/7/2019,2,0,0,91,,argenticolis
Dupont,53,0,0,110,5/31/2019,0,2,6/5/2019,6/7/2019,0,0,0,84,,
Dupont,55,0,0,142,5/31/2019,0,2,6/5/2019,6/7/2019,1,0,0,72,,
Dupont,56,0,0,281,5/31/2019,0,2,6/5/2019,6/7/2019,0,0,0,56,,
Dupont,1,1,31,215,5/22/2019,Flies,6,7/1/2019,7/3/2019,0,3,10,19,,argenticolis
Dupont,9,1,31,335,5/22/2019,Flies,6,7/1/2019,7/2/2019,0,0,2,96,,argenticolis
Dupont,14,1,31,137,5/22/2019,Flies,6,7/1/2019,7/2/2019,0,3,11,31,,argenticolis
Dupont,16,2,30,147,5/22/2019,Flies,6,7/1/2019,7/2/2019,3,3,11,63,,Piniperda
Dupont,34,0,32,272,5/22/2019,Flies,6,7/1/2019,7/2/2109,0,0,0,68,,argenticolis
Dupont,35,0,32,102,5/22/2019,Flies,6,7/1/2019,7/2/2019,0,0,0,14,,argenticolis
Dupont,43,4,28,262,5/22/2019,Flies,6,7/1/2019,7/3/2109,0,2,0,39,,argenticolis
Dupont,44,0,32,153,5/22/2019,Flies,6,7/1/2019,7/3/2109,0,0,0,21,,argenticolis
Dupont,45,0,32,120,5/22/2019,Flies,6,7/1/2019,7/3/2019,0,0,0,36,,argenticolis
Dupont,46,3,29,450,5/22/2019,Flies,6,7/1/2019,7/3/2019,0,2,0,75,,argenticolis
Dupont,48,0,32,125,5/22/2019,Flies,6,7/1/2019,7/3/2019,0,0,0,73,,argenticolis
Dupont,51,0,0,278,5/22/2019,0,6,7/1/2019,7/3/2019,0,0,0,130,,
Dupont,54,0,0,130,5/31/2019,0,6,7/1/2019,7/3/2019,0,0,0,130,,
Dupont,57,0,0,170,5/31/2019,0,6,7/1/2019,7/3/2019,0,0,0,41,,
Dupont,17,3,29,370,5/22/2019,Flies,8,7/17/2019,7/18/2019,0,1,3,27,16,argenticolis
Dupont,18,0,32,230,5/22/2019,Flies,8,7/17/2019,7/18/2019,0,1,0,8,3,argenticolis
Dupont,19,2,30,211,5/22/2019,Flies,8,7/17/2019,7/18/2019,0,1,1,4,2,argenticolis
Dupont,20,2,30,159,5/22/2019,Flies,8,7/17/2019,7/18/2019,0,0,0,10,89,argenticolis
Dupont,22,4,28,150,5/22/2019,Flies,8,7/17/2019,7/18/2019,0,0,0,27,23,argenticolis
Dupont,23,4,28,215,5/22/2019,Flies,8,7/17/2019,7/18/2019,0,1,1,18,50,argenticolis
Dupont,27,0,32,191,5/22/2019,Flies,8,7/17/2019,7/18/2019,0,0,0,26,3,argenticolis
Dupont,28,0,32,320,5/22/2019,Flies,8,7/17/2019,7/18/2019,0,0,0,62,55,argenticolis
Dupont,29,4,28,227,5/22/2019,Flies,8,7/17/2019,7/18/2019,0,0,0,13,0,argenticolis
Dupont,36,3,29,183,5/22/2019,Flies,8,7/17/2019,7/18/2019,0,0,0,1,33,argenticolis
Dupont,37,3,29,122,5/22/2019,Flies,8,7/17/2019,7/18/2019,0,0,0,48,0,Branch dead
Dupont,38,0,0,184,5/22/2019,0,8,7/17/2019,7/18/2019,0,0,0,87,104,
Dupont,42,0,0,116,5/22/2019,0,8,7/17/2019,7/18/2019,0,0,0,33,41,
Dupont,52,0,0,222,5/22/2019,0,8,7/17/2019,7/18/2019,0,0,0,76,179,
Dupont,15,2,30,358,5/22/2019,Flies,12,8/14/2019,8/15/2019,0,0,0,38,32,argenticolis
Dupont,21,4,28,283,5/22/2019,Flies,12,8/14/2019,8/15/2019,0,1,0,4,3,argenticolis
Dupont,24,5,27,91,5/22/2019,Flies,12,8/14/2019,8/15/2019,0,0,0,4,0,argenticolis
Dupont,25,5,27,129,5/22/2019,Flies,12,8/14/2019,8/15/2019,0,1,0,4,11,argenticolis
Dupont,26,6,26,140,5/22/2019,Flies,12,8/14/2019,8/15/2019,0,0,0,12,17,argenticolis
Dupont,30,3,29,260,5/22/2019,Flies,12,8/14/2019,8/15/2019,0,0,0,5,4,argenticolis
Dupont,31,4,28,189,5/22/2019,Flies,12,8/14/2019,8/15/2019,0,0,0,2,11,argenticolis
Dupont,32,4,28,304,5/22/2019,Flies,12,8/14/2019,8/15/2019,0,0,0,9,1,argenticolis
Dupont,33,4,28,117,5/22/2019,Flies,12,8/14/2019,8/15/2019,0,0,0,4,2,argenticolis
Dupont,47,0,32,150,5/22/2019,Flies,12,8/14/2019,8/15/2019,0,0,0,34,7,argenticolis
Dupont,49,0,32,335,5/22/2019,Flies,12,8/14/2019,8/15/2019,0,0,0,2,0,argenticolis
Dupont,50,0,32,251,5/22/2019,Flies,12,8/14/2019,8/15/2019,0,0,0,7,0,argenticolis
Dupont,39,0,0,97,5/22/2019,0,12,8/14/2019,8/15/2019,0,0,0,17,38,
Dupont,40,0,0,58,5/22/2019,0,12,8/14/2019,8/15/2019,0,0,0,3,1,
Dupont,41,0,0,84,5/22/2019,0,12,8/14/2019,8/15/2019,0,0,0,1,1,
